id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,profile_image_url,background_image,label
33234965,,BigUgly777,,"Chicken 225, Saskatchewan",,19 Apr 2009,9:07 AM,166.0,91.0,37.0,175.0,0.0,0.0,0.0,https://pbs.twimg.com/profile_images/1240364777706344458/M4wT3yuL_400x400.jpg,https://pbs.twimg.com/profile_banners/33234965/1584147278/1500x500,individual
19662404,PureCountryMusic,PureCountry,"We love Classic Country Music. You know, the artists that started it all and the one's that have kept real country music alive.","Music City, USA!",http://www.purecountrymusic.com,28 Jan 2009,9:09 AM,704.0,924.0,2609.0,0.0,0.0,0.0,0.0,https://pbs.twimg.com/profile_images/481164613250080768/jLhgRIJy_400x400.jpeg,https://pbs.twimg.com/profile_banners/19662404/1403553514/1500x500,organization
492498889,wambach,hozahyqolofir,,Украина,,14 Feb 2012,11:58 AM,779.0,21.0,29.0,0.0,0.0,0.0,0.0,https://pbs.twimg.com/profile_images/1828734154/788_400x400.gif,,individual
376263159,David Brader,DCBrader,God Fearing. Real Estate Broker. Kicking Coach. Duck Hunter. Cyclist. Thoroughbred Owner. Harley Rider. Eagle Scout. Former NFL Punter and Teacher.,STL,http://snapkickpunt.com,19 Sep 2011,8:51 AM,265.0,281.0,202.0,91.0,3.0,0.0,0.0,https://pbs.twimg.com/profile_images/378800000008904561/c2331b81afa5d680612e50861cd70b9f_400x400.jpeg,,individual
357391484,Michele Caroline,MicheleCarolin9,"I love animals, nature and keeping things as natural as possible.",Denmark,,18 Aug 2011,1:53 AM,1993.0,49.0,27.0,347.0,261.0,0.0,0.0,https://pbs.twimg.com/profile_images/623810799086141440/Qu6htJ2t_400x400.jpg,https://pbs.twimg.com/profile_banners/357391484/1406122412/1500x500,individual
183372530,Incredible Features,IncrediFeatures,,"Los Angeles, CA",http://incrediblefeatures.com/blog,26 Aug 2010,2:06 PM,1.0,1768.0,513.0,0.0,3.0,0.0,0.0,https://pbs.twimg.com/profile_images/1041827557920800768/5cQpER3e_400x400.jpg,,organization
521016581,adigunaro,adigunaro,#Aquilarecords #TeamAquila,"Lagos, Nigeria",,10 Mar 2012,8:50 PM,605.0,228.0,256.0,182.0,10.0,0.0,0.0,https://pbs.twimg.com/profile_images/999204529269690368/cwdUcahV_400x400.jpg,https://pbs.twimg.com/profile_banners/521016581/1527063901/1500x500,individual
99843267,Ayo Muffin ★,ayotaffe,Snapchat- hotnigga9.9,Trinidad & Tobago,https://www.facebook.com/ayodele.taffe,27 Dec 2009,6:58 PM,10997.0,205.0,396.0,1360.0,158.0,0.0,0.0,https://pbs.twimg.com/profile_images/775564988886941696/oZJoX8Or_400x400.jpg,https://pbs.twimg.com/profile_banners/99843267/1472530488/1500x500,individual
166991611,Vina Permatasari,Permata_Vinn,,S 5� 8' 0'' / E 119� 26' 0'',http://facebook.com/phynoE,15 Jul 2010,6:58 AM,3588.0,175.0,198.0,17.0,0.0,0.0,0.0,https://pbs.twimg.com/profile_images/1151359467759394816/fHWnlGhB_400x400.jpg,https://pbs.twimg.com/profile_banners/166991611/1549888573/1500x500,individual
400018788,Kay Kush,LickMy_Kxsh,Graduating X Playing V. Games X Watching Sports X Smoking Indo . IG : Adore_Cooksey,CaliFuckinFonia ,http://goldinkitten.tumblr.com/,28 Oct 2011,4:37 AM,2688.0,214.0,106.0,9.0,27.0,0.0,0.0,https://pbs.twimg.com/profile_images/2567009798/image_400x400.jpg,,individual
323443071,Holli Wilkins,HolliWilkins,Furman University Women's Basketball '16,,,24 Jun 2011,1:54 PM,326.0,379.0,246.0,208.0,26.0,0.0,0.0,https://pbs.twimg.com/profile_images/415670645650108416/8qsSmuVA_400x400.jpeg,https://pbs.twimg.com/profile_banners/323443071/1387938645/1500x500,individual
20466893,Kerry Eustice,kerryeustice,"Managing editor, @GuardianUS. Former editor of @guardianteach & @guardiancareers. Likes strong tea, old films and new books.","New York, NY",http://www.theguardian.com/us,9 Feb 2009,1:02 PM,3126.0,2503.0,2629.0,695.0,142.0,0.0,1.0,https://pbs.twimg.com/profile_images/1010279092976005121/b3ZQnqUb_400x400.jpg,,individual
268965833,Patrick McDermott,PMickD08,"Golf Hack, Family Man, Loyal Friend",Florida,,19 Mar 2011,1:57 PM,1627.0,202.0,28.0,1.0,8.0,0.0,0.0,https://pbs.twimg.com/profile_images/1640918705/PMickD08_400x400.jpg,,individual
172145009,Jimmy Park,OnlineRE,"Real Estate Broker Serving Montreal, Nuns' Island and Brossard Residential & Commercial",Montreal,http://JimmyPark.ca,28 Jul 2010,5:50 PM,260.0,8.0,19.0,0.0,2.0,0.0,0.0,https://pbs.twimg.com/profile_images/1407481386/Jimmy_Park2_400x400.jpg,,individual
231899917,Tommy,blackbookbuddy,Call and talk one-on-one with the gay porn industry's hottest porn star and amateur performers! Call a Buddy or sign up as one today!,California,http://blackbookbuddies.com,29 Dec 2010,11:36 AM,255.0,68.0,67.0,0.0,0.0,0.0,0.0,https://pbs.twimg.com/profile_images/1214808717/bbbuddylogo_400x400.jpg,,organization
146268004,christian 🥀,_christiangil,I’m only a fleeting thought • Laura🌹,ventura / los angeles,http://Instagram.com/christiangil27,20 May 2010,6:07 PM,18834.0,1114.0,479.0,14410.0,0.0,1.0,0.0,https://pbs.twimg.com/profile_images/1224973096823619584/R2MUx_c9_400x400.jpg,https://pbs.twimg.com/profile_banners/146268004/1571522232/1500x500,individual
534836298,☠ IRWAN ☠,irwanchc,I say stupid things.stupid words.you can call me STUPID!.enjoy playing with Comedian Hide Clown - BehindTheShadow - Freddy Krueger. But thats just me!,"Bandung ,Anfield ",,23 Mar 2012,2:54 PM,2595.0,739.0,277.0,74.0,12.0,0.0,0.0,https://pbs.twimg.com/profile_images/537932144312475649/NQ2aBEPE_400x400.jpeg,https://pbs.twimg.com/profile_banners/534836298/1384938597/1500x500,individual
